ROUTE_ID,ROUTE_SEQ,STOP_SEQ,STOP_ID,STOP_PICK_DROP,STOP_NAMEC,STOP_NAMES,STOP_NAMEE,LAST_UPDATE_DATE,ROUTE_NAMEC,Longitude,Latitude,COMPANY_CODE
1006,1,23,9228,3,"怡閣苑/<br>怡閣苑, 長沙灣道","怡阁苑/<br>怡阁苑, 长沙湾道","YEE KOK COURT/<br>Yee Kok Court, Cheung Sha Wan Road",04/02/25,102P,114.15799,22.33569,KMB+CTB
1006,1,24,758,3,"貿易廣場/<br>貿易廣場, 長沙灣道","贸易广场/<br>贸易广场, 长沙湾道","TRADE SQUARE/<br>Trade Square, Cheung Sha Wan Road",04/02/25,102P,114.15358,22.33906,KMB+CTB
1006,1,25,760,3,"長沙灣長荔街/<br>長荔街, 長沙灣道","长沙湾长荔街/<br>长荔街, 长沙湾道","CHEUNG LAI STREET CHEUNG SHA WAN/<br>Cheung Lai Street, Cheung Sha Wan Road",04/02/25,102P,114.14677,22.3391,KMB+CTB
1006,1,26,739,1,美孚巴士總站/<br>美孚,美孚巴士总站/<br>美孚,MEI FOO BUS TERMINUS/<br>Mei Foo,04/02/25,102P,114.13958,22.3393,KMB+CTB
1006,2,1,739,2,美孚巴士總站/<br>美孚,美孚巴士总站/<br>美孚,MEI FOO BUS TERMINUS/<br>Mei Foo,08/06/25,102P,114.13958,22.3393,KMB+CTB
1006,2,2,956,3,"荔枝角站/<br>荔枝角站, 長沙灣道","荔枝角站/<br>荔枝角站, 长沙湾道","LAI CHI KOK STATION/<br>Lai Chi Kok Station, Cheung Sha Wan Road",08/06/25,102P,114.14781,22.3397,KMB+CTB
1006,2,3,740,3,"昌華街/<br>昌華街, 長沙灣道","昌华街/<br>昌华街, 长沙湾道","CHEUNG WAH STREET/<br>Cheung Wah Street, Cheung Sha Wan Road",08/06/25,102P,114.15164,22.34083,KMB+CTB
1006,2,4,9225,3,"長沙灣站/<br>長沙灣站, 長沙灣道","长沙湾站/<br>长沙湾站, 长沙湾道","CHEUNG SHA WAN STATION/<br>Cheung Sha Wan Station, Cheung Sha Wan Road",08/06/25,102P,114.15431,22.33888,KMB+CTB
1006,2,5,9226,3,"長沙灣東京街/<br>東京街, 長沙灣道","长沙湾东京街/<br>东京街, 长沙湾道","TONKIN STREET CHEUNG SHA WAN/<br>Tonkin Street, Cheung Sha Wan Road",08/06/25,102P,114.15629,22.33729,KMB+CTB
1006,2,6,743,3,"深水埗欽州街/<br>欽州街, 長沙灣道","深水埗钦州街/<br>钦州街, 长沙湾道","YEN CHOW STREET SHAM SHUI PO/<br>Yen Chow Street, Cheung Sha Wan Road",08/06/25,102P,114.15978,22.33455,KMB+CTB
1006,2,7,9217,3,"深水埗北河街/<br>北河街, 長沙灣道","深水埗北河街/<br>北河街, 长沙湾道","PEI HO STREET SHAM SHUI PO/<br>Pei Ho Street, Cheung Sha Wan Road",08/06/25,102P,114.16175,22.33302,KMB+CTB
